Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Regret_N_Heuristic,1273,0.003966522
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Greedy_Insertion,1258,0.003911495
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Best_Insertion,1281,0.003927112
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Cheapest_Insertion,1275,0.003922987
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Nearest_Insertion,1258,0.00411818
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,Random_Insertion,1292,0.003615427
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Related_Removal,farthest_insertion,1282,0.004139924
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Basic_Insertion,1219,0.003696799
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Regret_2_Heuristic,1270,0.003758788
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Regret_3_Heuristic,1271,0.003732395
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Regret_N_Heuristic,1258,0.003790402
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Greedy_Insertion,1275,0.003740811
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Best_Insertion,1258,0.003751493
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Cheapest_Insertion,1271,0.003760099
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Nearest_Insertion,1283,0.003838778
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,Random_Insertion,1266,0.003427505
eil51.tsp,Minimum_Spanning_Tree_MST_Based_Heuristic,Route_Based_Removal,farthest_insertion,1258,0.003862977
eil51.tsp,Randomized_Heuristics,Random_Removal,Basic_Insertion,1643,0.001068807
eil51.tsp,Randomized_Heuristics,Random_Removal,Regret_2_Heuristic,1433,0.001050687
eil51.tsp,Randomized_Heuristics,Random_Removal,Regret_3_Heuristic,1573,0.001087785
eil51.tsp,Randomized_Heuristics,Random_Removal,Regret_N_Heuristic,1445,0.0011168
eil51.tsp,Randomized_Heuristics,Random_Removal,Greedy_Insertion,1634,0.001049209
eil51.tsp,Randomized_Heuristics,Random_Removal,Best_Insertion,1607,0.001043487
eil51.tsp,Randomized_Heuristics,Random_Removal,Cheapest_Insertion,1640,0.001051283
eil51.tsp,Randomized_Heuristics,Random_Removal,Nearest_Insertion,1499,0.001178694
eil51.tsp,Randomized_Heuristics,Random_Removal,Random_Insertion,1587,0.000694299
eil51.tsp,Randomized_Heuristics,Random_Removal,farthest_insertion,1549,0.001182103
eil51.tsp,Randomized_Heuristics,Worst_Removal,Basic_Insertion,1571,0.001344323
eil51.tsp,Randomized_Heuristics,Worst_Removal,Regret_2_Heuristic,1464,0.001332617
eil51.tsp,Randomized_Heuristics,Worst_Removal,Regret_3_Heuristic,1755,0.001366591
eil51.tsp,Randomized_Heuristics,Worst_Removal,Regret_N_Heuristic,1453,0.001388597
